nome,endereco1,endereco2
Centro,"Rua Pedro Afonso Ferreira, n° 17, Centro (em frente ao Instituto Darcy Ribeiro) – Local com acessibilidade para cadeirantes.","Av. Roberto Silveira, n° 168, Centro (acima da Drogaria Max)."
Inoã,"Rua Quatro, nº 534, Inoã.",
